e, e_dot, e_int, stamp, 
-2.356200091938015, -1.0721256500367815e-05, -0.1882975575547483, 1731684420051401721, 
-2.356208525320094, -3.464108586500222e-05, -0.2261632444225556, 1731684420115162518, 
-2.356204511206854, -1.4730896131058083e-05, -0.2633173514499018, 1731684420163156607, 
-2.3554178444481257, 0.002635602906561433, -0.22644372687154127, 1731684420211278454, 
-2.346820648722583, 0.031279541614237516, -0.2643176398840863, 1731684420275497660, 
-2.3177365782650123, 0.12560422061037801, -0.22392306888899732, 1731684420306972413, 
-2.3177365782650123, 0.09694690152523518, -0.07325532429791864, 1731684420306972413, 
-2.2695756493428667, 0.16053642974048543, -0.25846483598144027, 1731684420419266262, 
-2.196986462392729, 0.40250038624094486, -0.4708383255127647, 1731684420515175949, 
-2.096162097879063, 0.5780451715460119, -0.420482103208229, 1731684420611480085, 
-1.973085292105756, 0.7463372342899096, -0.40075105608283706, 1731684420707038110, 
-1.8324469885474772, 0.8790503644386197, -0.408225204799912, 1731684420818992629, 
-1.6913800720385423, 0.9390174002240456, -0.38181681829546127, 1731684420915418812, 
-1.5654514885184785, 0.8899850000966625, -0.3263843786093346, 1731684421011387902, 
-1.4340798261924892, 0.8576674861535105, -0.2995450140951602, 1731684421106988204, 
-1.312030399359271, 0.8447369638640249, -0.29909155436501006, 1731684421219496871, 
-1.2288305319478687, 0.6841643141487349, -0.27553318252960374, 1731684421314940875, 
-1.148420102660984, 0.5453676556609569, -0.23593332331148686, 1731684421411349962, 
-1.078483267868958, 0.5011575469297025, -0.22105005997683647, 1731684421506839383, 
-1.013449198252323, 0.4499030146955363, -0.22392008825868337, 1731684421618660818, 
-0.9603268039929882, 0.39385487958656595, -0.21206137574955464, 1731684421715269949, 
-0.9147911202065409, 0.32886026015260733, -0.1855663527448645, 1731684421811385804, 
-0.8738856247009057, 0.2881372643069417, -0.1760416880691088, 1731684421907385039, 
-0.8340036103869328, 0.2692916993986934, -0.1816499999890633, 1731684422019169417, 
-0.7917436929930448, 0.27380643902620294, -0.17334815626613417, 1731684422115433374, 
