x, y, theta, stamp, 
-1.999922937718152, -1.999922937718152, 8.589353861229352e-06, 326515000000, 
-1.9999229261690006, -1.9999229261690006, 8.590256324172913e-06, 326549000000, 
-1.9999229168471602, -1.9999229168471602, 8.591202247972865e-06, 326583000000, 
-1.9999229073120293, -1.9999229073120293, 8.592101671821024e-06, 326617000000, 
-1.999922917719316, -1.999922917719316, 8.592923570317829e-06, 326651000000, 
-1.9999229333008646, -1.9999229333008646, 8.593625007377564e-06, 326685000000, 
-1.999922948936995, -1.999922948936995, 8.594418887123494e-06, 326719000000, 
-1.999922950766108, -1.999922950766108, 8.59527550808478e-06, 326753000000, 
-1.99992294398455, -1.99992294398455, 8.596160021549146e-06, 326787000000, 
-1.9999229326753272, -1.9999229326753272, 8.597058568213887e-06, 326821000000, 
-1.9999229149690059, -1.9999229149690059, 8.598009569460236e-06, 326855000000, 
-1.9999228928278248, -1.9999228928278248, 8.599017004831862e-06, 326889000000, 
-1.999922878741811, -1.999922878741811, 8.599965314509152e-06, 326923000000, 
-1.9999228722012343, -1.9999228722012343, 8.600820846688636e-06, 326957000000, 
-1.999922890879635, -1.999922890879635, 8.601557672156807e-06, 326991000000, 
-1.9999229100270306, -1.9999229100270306, 8.602314660817926e-06, 327025000000, 
-1.9999229258596187, -1.9999229258596187, 8.603047193869044e-06, 327059000000, 
-1.9999229312824487, -1.9999229312824487, 8.603891035994634e-06, 327093000000, 
-1.9999229261482483, -1.9999229261482483, 8.604822328426132e-06, 327127000000, 
-1.9999229105507947, -1.9999229105507947, 8.60575458818569e-06, 327161000000, 
-1.9999228893165526, -1.9999228893165526, 8.606670044314468e-06, 327195000000, 
-1.9999228733230738, -1.9999228733230738, 8.6076616839237e-06, 327229000000, 
-1.9999228555091164, -1.9999228555091164, 8.608617473258767e-06, 327263000000, 
-1.9999228622861867, -1.9999228622861867, 8.609421109087434e-06, 327297000000, 
-1.9999228770713557, -1.9999228770713557, 8.61016238216701e-06, 327331000000, 
-1.9999228874042736, -1.9999228874042736, 8.611002022880925e-06, 327365000000, 
-1.9999229041606141, -1.9999229041606141, 8.611708016653323e-06, 327399000000, 
-1.9999229126751705, -1.9999229126751705, 8.612512903099626e-06, 327433000000, 
-1.9999229108962404, -1.9999229108962404, 8.61341930323143e-06, 327467000000, 
-1.9999228988222508, -1.9999228988222508, 8.61434747495457e-06, 327501000000, 
-1.9999228760032697, -1.9999228760032697, 8.615322605978604e-06, 327535000000, 
-1.9999228447020234, -1.9999228447020234, 8.61631214126127e-06, 327569000000, 
-1.9999228384279573, -1.9999228384279573, 8.61727942819543e-06, 327603000000, 
-1.999922835548626, -1.999922835548626, 8.618100587657962e-06, 327637000000, 
-1.9999228361410248, -1.9999228361410248, 8.618903932441224e-06, 327671000000, 
-1.9999228630775499, -1.9999228630775499, 8.619658867218354e-06, 327705000000, 
-1.9999228739329216, -1.9999228739329216, 8.620427314814293e-06, 327739000000, 
-1.9999228789539043, -1.9999228789539043, 8.621221310252862e-06, 327773000000, 
-1.999922879044256, -1.999922879044256, 8.622116330045379e-06, 327807000000, 
-1.9999228701297553, -1.9999228701297553, 8.623028986881953e-06, 327841000000, 
-1.9999228509551754, -1.9999228509551754, 8.623966571821932e-06, 327875000000, 
-1.9999228244642313, -1.9999228244642313, 8.624990066718961e-06, 327909000000, 
-1.9999228261629818, -1.9999228261629818, 8.625874882074159e-06, 327943000000, 
-1.999922831201238, -1.999922831201238, 8.626634738278822e-06, 327977000000, 
-1.9999228437806897, -1.9999228437806897, 8.627433120069702e-06, 328011000000, 
-1.9999228491764083, -1.9999228491764083, 8.628203811617373e-06, 328045000000, 
-1.9999228496459183, -1.9999228496459183, 8.62908403919837e-06, 328079000000, 
-1.9999228411111536, -1.9999228411111536, 8.630010213530509e-06, 328113000000, 
-1.9999228223133387, -1.9999228223133387, 8.630949907190785e-06, 328147000000, 
-1.9999228067931811, -1.9999228067931811, 8.631908857915082e-06, 328181000000, 
-1.9999228115102023, -1.9999228115102023, 8.632791029643456e-06, 328215000000, 
